TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-18,2026-08-18,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7739.35,7739.35,7538.30,7559.85,7559.85,7658.00,,7546.20,,,5540,42344834.00,1007,F1,1,,,,,
2026-08-18,2026-08-18,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,1292.50,1377.00,1292.50,1367.65,1372.00,1286.50,,1367.70,,,151481,204344054.00,5104,F1,1,,,,,
2026-08-18,2026-08-18,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,944.75,953.00,928.85,935.35,937.55,945.25,,935.78,,,30038,28191101.00,1371,F1,1,,,,,
2026-08-18,2026-08-18,CM,BSE,STK,500009,INE432A01017,AMBALALSA,B,,,,,AMBALAL SARABHAI ENTERPRISES L,46.05,49.40,45.93,47.70,48.00,45.69,,47.63,,,69290,3341227.00,912,F1,1,,,,,
2026-08-18,2026-08-18,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,43.75,44.99,43.51,43.98,44.00,44.05,,43.98,,,69033,3053642.00,464,F1,1,,,,,
2026-08-18,2026-08-18,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,3.50,3.50,3.38,3.38,3.38,3.44,,3.39,,,18336,62191.00,27,F1,1,,,,,
2026-08-18,2026-08-18,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,3.91,3.93,3.64,3.78,3.78,3.91,,3.78,,,3352,12837.00,52,F1,1,,,,,
2026-08-18,2026-08-18,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,7.60,7.60,7.16,7.28,7.27,7.40,,7.28,,,4631,34225.00,22,F1,1,,,,,
2026-08-18,2026-08-18,CM,BSE,STK,500020,INE032A01023,BOMDYEING,B,,,,,BOMBAY DYEING & MFG.CO.LTD.,113.20,116.80,113.20,114.95,114.30,113.90,,114.83,,,24544,2834335.00,535,F1,1,,,,,
2026-08-18,2026-08-18,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,300.75,302.75,296.90,296.90,296.90,298.50,,302.00,,,64,19316.00,18,F1,1,,,,,
2026-08-18,2026-08-18,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6730.35,6769.50,6588.10,6613.05,6590.00,6716.85,,6608.65,,,903,5999012.00,231,F1,1,,,,,
2026-08-18,2026-08-18,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,26.35,27.48,26.35,26.74,26.90,27.21,,26.74,,,7648,206517.00,107,F1,1,,,,,
2026-08-18,2026-08-18,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,359.00,369.35,354.70,355.15,355.35,357.50,,355.54,,,25803,9306787.00,799,F1,1,,,,,
